DOID,Type,MeSH,UMLS_CUI
0060104,DIS,,
0060106,DIS,,
0060108,DIS,,
0060109,DIS,,
0060110,DIS,,
0060111,DIS,,
0060112,DIS,,
0060114,DIS,,
0060115,DIS,,
0060116,DIS,,
0060117,DIS,,
0060118,DIS,,
0060119,DIS,D010610,C0031347
0060121,DIS,,
0060122,DIS,,
0060123,DIS,D012983,C0037579
0060125,DIS,D006362,"C0018852, C0018854"
0060126,DIS,,
0060127,DIS,,
0060128,DIS,,
0060129,DIS,,
0060130,DIS,,
0060131,DIS,,
0060132,DIS,,
0060133,DIS,,
0060134,DIS,,
0060135,DIS,,
0060136,DIS,,
0060137,DIS,,
0060138,DIS,,
0060139,DIS,,
0060140,DIS,,
0060141,DIS,,
0060142,DIS,,
0060143,DIS,,
0060144,DIS,,
0060145,DIS,,
0060146,DIS,,
0060147,DIS,,
0060148,DIS,,
0060149,DIS,,
0060150,DIS,,
0060151,DIS,,
0060152,DIS,,
0060153,DIS,,
0060154,DIS,,
0060155,DIS,,
0060156,DIS,,
0060157,DIS,,C0263479
0060158,DIS,,
0060159,DIS,,
0060160,DIS,D014897,C0700595
0060161,DIS,D055534,C1839259
0060162,DIS,D020191,C0751781
0060163,DIS,,
0060164,DIS,,
0060165,DIS,,
0060166,DIS,,
0060167,DIS,,
0060168,DIS,C538320,
0060169,DIS,,
0060170,DIS,C565808,
0060172,DIS,,
0060173,DIS,C536962,C1832916
0060174,DIS,,
0060175,DIS,C535803,
0060176,DIS,,
0060177,DIS,C535328,
0060178,DIS,,C0477373
0060179,DIS,,
0060180,DIS,,
0060181,DIS,D017091,C0162529
0060182,DIS,D046728,C0400821
0060183,DIS,D046729,C0238067
0060184,DIS,D046730,C0400822
0060185,DIS,D004761,"C0014358, C0085819"
0060186,DIS,,C0029512
0060187,DIS,,C0029512
0060188,DIS,,
0060189,DIS,D007079,C0020877
0060190,DIS,,
0060191,DIS,,
0060192,DIS,D003424,C0156147
0060193,DIS,,
0060194,DIS,,
0060195,DIS,,
0060196,DIS,,
0060197,DIS,,
0060198,DIS,,
0060199,DIS,,
0060200,DIS,,
0060201,DIS,,
0060202,DIS,,
0060203,DIS,,
0060204,DIS,,
0060205,DIS,,
0060206,DIS,,
0060207,DIS,,
0060208,DIS,,
0060209,DIS,,
0060210,DIS,,
0060211,DIS,,
0060212,DIS,,
0060213,DIS,,
0060214,DIS,,
0060215,DIS,D002549,C0007795
0060216,DIS,D055952,C0271270
0060217,DIS,,C1168173
0060218,DIS,D017675,"C0206138, C1527226"
0060219,DIS,,
0060220,DIS,,
0060221,DIS,,
0060222,DIS,,
0060223,DIS,,
0060224,DIS,D001281,C0004238
0060225,DIS,,
0060226,DIS,C538186,C1860118
0060227,DIS,,C0265268
0060228,DIS,,
0060229,DIS,,
0060230,DIS,C536275,C0393590
0060231,DIS,,
0060232,DIS,C537104,
0060233,DIS,C535579,
0060234,DIS,C563187,C1275078
0060235,DIS,C535589,C0342790
0060236,DIS,,C0220988
0060237,DIS,C536681,C1838625
0060238,DIS,C536530,C1832390
0060239,DIS,C536528,"C0175697, C1834339"
0060240,DIS,C563466,
0060241,DIS,C535314,"C1848862, C3280146"
0060242,DIS,C538153,C2699746
0060243,DIS,,
0060244,DIS,,
0060245,DIS,C565409,
0060246,DIS,C536029,C0795953
0060247,DIS,C564589,C1846431
0060248,DIS,C537340,C0796154
0060249,DIS,D012600,C0036439
0060250,DIS,,
0060251,DIS,C537525,C0265301
0060252,DIS,C565209,C1853235
0060253,DIS,C536624,
0060254,DIS,C562492,C0265205
0060255,DIS,,C1853698
0060256,DIS,C562924,"C0406811, C3714534"
0060257,DIS,C535729,C0406775
0060258,DIS,,C0406811
0060259,DIS,C567142,
0060260,DIS,D001763,C0005745
0060261,DIS,,C0266573
0060262,DIS,D005705,C0016977
0060263,DIS,D065708,"C0302892, C1867983"
0060264,DIS,C580383,C0266468
0060265,DIS,,
0060266,DIS,,
0060267,DIS,C564738,C1848526
0060268,DIS,C567325,C2676466
0060269,DIS,C567324,C2676465
0060270,DIS,,
0060271,DIS,,
0060272,DIS,C548072,C1842687
0060273,DIS,C536716,C1856974
0060274,DIS,C537745,C1857762
0060275,DIS,C548074,C1969084
0060276,DIS,,
0060277,DIS,,
0060278,DIS,,
0060279,DIS,,
0060280,DIS,,"C4304832, C5816750"
0060281,DIS,,
0060282,DIS,D054514,C0266568
0060283,DIS,C564818,C1849193
0060284,DIS,D006457,"C0019050, C0024790"
0060285,DIS,C566826,C1868598
0060286,DIS,,
0060287,DIS,,
0060288,DIS,,C4510897
0060289,DIS,C536232,C0796094
0060290,DIS,C536717,C1863557
0060291,DIS,C563160,C0812437
0060292,DIS,C580533,
0060293,DIS,,
0060294,DIS,C536214,C1832409
0060295,DIS,,
0060296,DIS,C536210,C0267662
0060297,DIS,C565167,
0060298,DIS,,
0060299,DIS,C567307,
0060300,DIS,C566443,
0060301,DIS,,
0060302,DIS,,
0060303,DIS,,
0060304,DIS,C535730,C2930995
0060305,DIS,,C0344530
0060306,DIS,C538012,C1868684
0060307,DIS,,
0060308,DIS,,
0060309,DIS,,
0060310,DIS,,
0060311,DIS,,C0149825
0060312,DIS,,C0221237
0060313,DIS,C557675,C0392109
0060314,DIS,,
0060315,DIS,D017733,C0206186
0060316,DIS,D009958,"C0026363, C0029294"
0060317,DIS,D008169,C0024110
0060318,DIS,D015473,C0023487
0060319,DIS,D006323,"C0018790, C0600228"
0060320,DIS,D006552,"C0019294, C0019295"
0060321,DIS,D006554,"C0795690, C1306503"
0060322,DIS,D008417,C0024904
0060323,DIS,,
0060324,DIS,,
0060325,DIS,,C0153996
0060326,DIS,D008591,"C0025312, C0086664"
0060327,DIS,D006554,"C0795690, C1306503"
0060328,DIS,D012003,
0060329,DIS,D011271,C0032987
0060330,DIS,C535289,
0060331,DIS,,C4273660
0060332,DIS,,
0060333,DIS,,
0060334,DIS,,
0060335,DIS,,
0060336,DIS,C579867,
0060337,DIS,C537943,C1836033
0060338,DIS,,
0060339,DIS,,
0060340,DIS,,
0060341,DIS,C562503,
0060342,DIS,C566345,
0060343,DIS,,
0060344,DIS,,C0029805
0060345,DIS,D016917,C0085434
0060346,DIS,C538343,C1850625
0060347,DIS,C563159,C3495490
0060348,DIS,C537157,C1855840
0060349,DIS,C537711,C1835265
0060350,DIS,C538228,"C0268120, C3665382"
0060351,DIS,,
0060352,DIS,C563043,C0795833
0060353,DIS,,
0060354,DIS,C566108,C1861451
0060355,DIS,,
0060356,DIS,C535566,C1855772
0060357,DIS,C535460,C0795956
0060358,DIS,D054069,"C0268596, C1856401"
0060359,DIS,C537227,
0060360,DIS,C566323,
0060361,DIS,,C1274216
0060362,DIS,C535653,C0545044
0060363,DIS,,C0574108
0060364,DIS,,
0060365,DIS,,
0060366,DIS,C537255,C0340834
0060367,DIS,,
0060368,DIS,,
0060369,DIS,,
0060370,DIS,,
0060371,DIS,,
0060372,DIS,,
0060373,DIS,C557817,C0406726
0060374,DIS,C537133,C0406727
0060375,DIS,C557819,C1868118
0060376,DIS,C536531,C2745997
0060377,DIS,C563104,
0060378,DIS,C557820,C0796101
0060379,DIS,,
0060380,DIS,C563491,
0060381,DIS,C557821,C2752048
0060382,DIS,C557818,C0796102
0060383,DIS,C538183,C1860119
0060384,DIS,C538182,C2931762
0060385,DIS,C538185,C1866168
0060386,DIS,C535924,C0024145
0060387,DIS,C537914,C1859148
0060388,DIS,,
0060389,DIS,C567385,
0060390,DIS,C567182,
0060391,DIS,,
0060392,DIS,,
0060393,DIS,,C3180937
0060394,DIS,C567439,
0060395,DIS,C579849,
0060396,DIS,,
0060397,DIS,C567232,
0060398,DIS,,"C3150701, C4518824"
0060399,DIS,,
0060400,DIS,,
0060401,DIS,,
0060402,DIS,D054221,
0060403,DIS,C563524,
0060404,DIS,,
0060405,DIS,,
0060406,DIS,C538309,C0432442
0060407,DIS,C536580,
0060408,DIS,C567810,C2751651
0060409,DIS,C535594,
0060410,DIS,C535362,C1842870
0060411,DIS,,
0060412,DIS,,
