,0
1619,11753673
1620,3035016
1621,25241709
1622,214350
1623,6014
1624,156391
1625,5464025
1626,135398559
1627,135565845
1628,15978575
1629,3899
1630,86281210
1631,46216556
1632,16719220
1633,44625560
1634,6451164
1635,44137946
1636,5362440
1637,44556044
1638,71511836
1639,136170999
1640,11434515
1641,90469070
1642,3337
1643,115237
1644,10172827
1645,49792852
1646,70693500
1647,46189893
1648,54678924
1649,179340
1650,3082555
1651,53340771
1652,72390
1653,60750
1654,24946280
1655,17747460
1656,65628
1657,131704321
1658,46200994
1659,4583
1660,181458
1661,104842
1662,1046
1663,3035850
1664,25235269
1665,469584
1666,5280453
1667,44187367
1668,3083544
1669,4908
1670,74270
1671,132016492
1672,85471918
1673,6918837
1674,60835
1675,446925
1676,25109292
1677,5485201
1678,66906051
1679,91273
1680,656685
1681,4735
1682,169371
1683,117761397
1684,444913
1685,58423153
1686,11625818
1687,59868
1688,172408051
1689,941361
1690,2812
1691,24798764
1692,15983966
1693,5282435
1694,145994868
1695,643985
1696,25161177
1697,25052023
1698,146673134
1699,9878
1700,7028
1701,16204922
1702,6253
1703,11525740
1704,11597698
1705,44516953
1706,46203139
1707,2187
1708,25023695
1709,44595079
1710,11545920
1711,91799359
1712,59657596
1713,5460033
1714,11186829
1715,3324
1716,58298318
1717,49831257
1718,51001932
1719,3246729
1720,49806720
1721,54892
1722,11520894
1723,62887
1724,56649450
1725,9804992
1726,39147
1727,71269142
1728,44187362
1729,6918454
1730,118023034
1731,124087
1732,65348
1733,73386890
1734,406563
1735,71622431
1736,53251506
1737,11592228
1738,11856170
1739,46184405
1740,118693659
1741,443289
1742,54840
1743,124155204
1744,71654876
1745,148189
1746,58507717
1747,122650693
1748,3356
1749,135565589
1750,2826731
1751,5493444
1752,135565248
1753,129869
1754,4212
1755,51039094
1756,44520175
1757,443939
1758,163203563
1759,3652
1760,11610599
1761,62998
1762,445643
1763,6041
1764,7045767
1765,41867
1766,11442891
1767,449688
1768,71402018
1769,11707110
1770,71306834
1771,31239
